날짜,요일,메뉴1,메뉴2,메뉴3,,,
2025-08-01,월,수수밥,스팸김치찌개,미역국수무침,연탄간장불고기,깍두기,아이스커스터슈
2025-08-02,화,파인애플새우볶음밥,쑥갓어묵국,로제떡볶이,감자바삭가스,배추김치,쿨피스복숭아맛
2025-08-03,수,잡곡밥,들깨수제비,청포묵파래무침,에그또띠아,배추겉절이,액티비아사과맛
2025-08-04,목,보리밥,청포탕,치즈닭갈비,들기름막국수무침,동치미,
2025-08-05,금,훈제오리볶음밥,쇠고기미역국,명가떡갈비,무말랭이김치,16곡물쫀드기,
2025-08-08,월,기장밥,실파계란국,안동찜닭,배추김치,곱창돌김,카라멜팝콘
2025-08-09,화,흑미밥,한우우거지국밥,오이지무침,치즈소떡꼬치,파김치,딸기우유
2025-08-10,수,수수밥,유부된장국,대파족발양념구이,배추겉절이,청상추쌈*쌈장,초코볼크런치요거트
2025-08-11,목,카레라이스,쇠고기무국,머스타드미트볼*갈릭소스,배추김치,토레타음료,
2025-08-12,금,마파두부덮밥,콩나물국,참나물무침,야채새우짜조롤,총각김치,오렌지
2025-08-15,월,기장밥,얼큰순대국,두부조림,골뱅이야채무침,석박지,조각배
2025-08-16,화,잡곡밥,차돌박이된장찌개,코다리무조림,치즈불닭퀘사디아,배추김치,달고나마카롱
2025-08-17,수,후리가케밥,크림스프,로제스파게티,미니돈가스*소스,무말랭이김치,블루베리주스
2025-08-18,목,옥수수밥,추어탕,간장무채숙주무침,오징어야채핫바,배추김치,쁘띠쿨자두주스
2025-08-19,금,차조밥,콩비지찌개,돈사태큐브찹스테이크,멸치꽈리고추볶음,깍두기,초코우유
2025-08-22,월,고구마밥,쇠고기쌀국수,돼지고기두루치기,야채계란말이,상추겉절이,우리밀딸기웨이퍼
2025-08-23,화,흑미밥,순두부찌개,사각어묵고추장볶음,누룽지탕수육,깍두기,크림요거트*망고잼
2025-08-24,수,치킨마요덮밥,얼갈이된장국,별콕콕국물떡복이,배추김치,바나나,
2025-08-25,목,차조밥,설렁탕,순대야채볶음,오징어김치전,석박지,애플망고주스
2025-08-26,금,잡곡밥,홍합미역국,치폴레오리훈제구이,배추김치,딸기요거트,레몬무쌈
2025-08-29,월,기장밥,건새우아욱국,주꾸미삼겹살볶음,유자청도라지무침,배추김치,앙버터호두과자
2025-08-30,화,오므라이스,미소된장국,마라찜닭,총각김치,유기농포도주스,
